Period,Volume
1,78530
2,309776
3,270314
4,235470
5,406369
6,376339
7,575907
8,542250
9,490925
10,543046
11,687586
12,962799
13,743627
14,765606
15,765899
16,744102
17,804098
18,806074
19,775527
20,1003817
21,1189522
22,1024765
23,1055444
24,1292654
25,1118160
26,1196668
27,904409
28,1064132
29,1072060
30,967790
31,971801
32,944629
33,1287522
34,1262079
35,1969526
36,1219209
37,1248439
38,1079503
39,1063376
40,1135416
41,1096130
42,1129471
43,1071116
44,1009423
45,1233238
46,1210954
47,972491
48,1170008
49,1611888
50,1307333
51,1337764
52,1191776
53,1069216
54,1132206
55,1169569
56,1210812
57,1271097
58,1399202
59,1443744
60,1225931
61,1410182
62,1155545
63,1197815
64,1219067
65,1313627
66,1254005
67,1138045
68,1228707
69,1751669
70,1465016
71,1739896
72,2085733
73,1491775
74,1811209
75,1518269
76,1473048
77,1405733
78,1474580
79,1246284
80,1473385
81,1359208
82,1470741
83,1897471
84,1448598
85,2401803
86,1591234
87,1441649
88,1471524
89,1366068
90,1404012
91,1190347
92,1765700
93,1431289
94,1943647
95,2237701
96,3975722
97,2053729
98,1362188
99,1553199
100,1306962
101,1505450
102,1305861
103,2117266
104,1664290
105,1841378
106,1894959
107,1659079
108,1736058
109,1378795
110,1257413
111,1510667
112,1368643
113,1223050
114,1312457
115,1277706
116,1478843
117,2301595
118,3180720
119,1496907
120,1358642
121,1751875
122,1697352
123,1254073
124,1624358
125,1181569
126,1283283
127,1275917
128,1707335
129,1614138
130,1689941
131,2018348
132,3290884
133,2799870
134,1467310
135,1532810
136,1297140
137,1369260
138,1400445
139,1187892
140,1310699
141,1937369
142,1643810
143,1632642
144,2412937
145,3236366
146,2155559
147,1612031
